message
Invalid pattern '\u{1D306}' at offset 3. Insufficient hexadecimal digits.
Invalid pattern '(?:repeats\s+)(?:(?:each|every|all)\s+)?3r?d?\s+month(?:s|ly)?\s+(?:on\s+)?(?:the\s+)?((?:' at offset 90. Not enough )'s.
Invalid pattern '^\Q$environment->{SCRIPT_NAME}\E' at offset 3. Unrecognized escape sequence \\Q.
Invalid pattern '\A=([0-9]+)\p{PerlSpace}*(.+)\z' at offset 24. Unknown property 'PerlSpace'.
Object reference not set to an instance of an object.
Invalid pattern '(?:^|(?<=:))(' at offset 13. Not enough )'s.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<start>.*) to (?P<end>.*) directions$' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '(?<![<>])(<S>(?:[Dd][eo]n|[Ss]an?|[Ff]aoin|[\x{d3}\x{f3}]n)<\/S> (?:<N[^>]*>[Dd]h\x{e1}r\x{e9}ag<\/N>))(?![<>])' at offset 47. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern 'pgilinux-\d+-(?P<year>\d\d)0?(?P<month>[1-9][0-9]?)' at offset 16. Unrecognized grouping construct.
Invalid pattern 'uid=(?P<uid>\S+)' at offset 7. Unrecognized grouping construct.
Invalid pattern '\p{Bidi_Class=L}+' at offset 14. Incomplete \\p{X} character escape.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<V cop=""y"">[Cc]\x{e1}rb<\/V> <[A-DF-Z][^>]*>[^aeiouAEIOU\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}\x{c1}\x{c9}\x{cd}\x{d3}\x{da}][^<]+<\/[A-DF-Z]>)(?![<>])' at offset 28. Insufficient hexadecimal digits."
"Invalid pattern '(?P<date>\d{4}-\d{1,2}-\d{1,2}\s+\d{1,2}:\d{1,2})(?P<timezone>[+-]{1}\d{2}:{0,1}\d{2})\s+(?P<name>[^\s].*)' at offset 3. Unrecognized grouping construct."
Invalid pattern '^subtitle_(?P<lang>[^_]+)_(?P<ext>(vtt|srt))' at offset 13. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^((\s*\/\/.*\n|\s*#extension.*\n)+)[^]*$' at offset 40. Unterminated [] set.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\s*(?P<free>\-*[0-9]+)\s*\(\s*(?P<freeDiff>\-*[0-9]+)\s*/\s*(?P<anon>\-*[0-9]+)\s*/\s*(?P<cache>\-*[0-9]+)\s*/\s*(?P<kernel>\-*[0-9]+)' at offset 6. Unrecognized grouping construct.
Invalid pattern '(?:\n+ {' at offset 8. Not enough )'s.
Invalid pattern '\p{Ext}' at offset 7. Unknown property 'Ext'.
Object reference not set to an instance of an object.
"Invalid pattern 'a{6,8}+' at offset 7. Nested quantifier '+'."
Object reference not set to an instance of an object.
"Invalid pattern '?www.?.com/?/app' at offset 1. Quantifier {x,y} following nothing."
"Invalid pattern '(?<![<>])(<V cop=""y"">[Nn]\x{e1}r<\/V> <[A-DF-Z][^>]*>(?:[aeiouAEIOU\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}\x{c1}\x{c9}\x{cd}\x{d3}\x{da}]|[Ff]h?[aeiou\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}])[^<]+<\/[A-DF-Z]>)(?![<>])' at offset 28. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(---|\+\+\+)$[^]*?^\1$(\r\n|\r|\n)' at offset 35. Unterminated [] set.
Invalid pattern '[^A-Za-z0-9\-\.\@\_]' at offset 19. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?u)[^- \w.]' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '\Acopyright(?:' at offset 14. Not enough )'s.
"Invalid pattern '
        \A
        ( : )
        ( 0x [\hx]+ )
        (?= \s | \z )
      ' at offset 42. Unrecognized escape sequence \\h."
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Tt]r\x{ed})<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+([Dd]\x{e9}ag)<\/[A-DF-Z]>' at offset 31. Insufficient hexadecimal digits.
Invalid pattern '(?-u)☃' at offset 4. Unrecognized grouping construct.
"Invalid pattern '(?:imdb.*?)?(?:tt|Title\?)(?P<imdbid>\d{5,7})' at offset 29. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^<!-- aliasbegin -->\R.*?^<!-- aliasend -->\R' at offset 22. Unrecognized escape sequence \\R.
"Invalid pattern '
(^
			\[
        (?P<section>	.+) \]
        		(\s+((\#|;).*)?)?
$)|(^
    			\s*
        (?P<option>	[^\#;]+?)
        		(\s* (=|:) \s*)
        (?P<value>	.+?)?
        		(\s+((\#|;).*)?)?
$)|(^
		       	(\s*(\#|;)+\s*
        (?P<cmted>	(.|\s)*))
$)|(^
        		\s+
        (?P<cont>	[^\#;]*?)
        		(\s+(\#|;).*)?
$)' at offset 21. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '\sFROM <(?P<graphuri>[^>]+)>\s' at offset 11. Unrecognized grouping construct.
"Invalid pattern '(?<![<>])(<A pl=""n"" gnt=""n"">[Cc]eathair [Dd]\x{e9}ag<\/A>)(?![<>])' at offset 47. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Invalid pattern '^[\p{Alpha}\s]+$' at offset 11. Unknown property 'Alpha'.
Invalid pattern '@((?:\.\.\/)*' at offset 13. Not enough )'s.
Invalid pattern '^\Q$sym\E::' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
"Invalid pattern '(^---$[^]*?^---$)?(\r\n|\r|\n){1,}' at offset 34. Unterminated [] set."
Invalid pattern '^\Q$codeblock_marker\E\s*$' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?=^' at offset 4. Not enough )'s.
"Invalid pattern '(?<![<>])(<Q>[Cc]ad<\/Q> (?:<P[^>]*>\x{e9}<\/P>) (?:<V[^>]* p="".""[^>]*>[^<]+<\/V>))(?![<>])' at offset 39. Insufficient hexadecimal digits."
"Invalid pattern '(<E[^>]*>(?:<P[^>]*>p\x{e9}<\/P>) <N pl=""n"" gnt=""y"" gnd=""f"">n?dh?eifre<\/N><\/E>)' at offset 24. Insufficient hexadecimal digits."
Invalid pattern '\[(?P<group>\w+)\]\s*(?P<id>(\d+|-))?(?P<tag>.*?):(?P<value>.*$)' at offset 5. Unrecognized grouping construct.
Invalid pattern '\Q[{CONFIG}]' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern 'url_video_(?P<quality>.+)' at offset 13. Unrecognized grouping construct.
Invalid pattern 'SELECT (`?(?:' at offset 13. Not enough )'s.
Invalid pattern '^\/(' at offset 4. Not enough )'s.
Object reference not set to an instance of an object.
"Invalid pattern '((?>/\*.*?\*/\s+))
                                rb_define_attr\((?:\s*' at offset 73. Not enough )'s."
Object reference not set to an instance of an object.
Invalid pattern '20(#)[\da-jA-J]++' at offset 17. Nested quantifier '+'.
"Invalid pattern '(?<![<>])(<Q>[Cc]\x{e1}r<\/Q> (?:<V[^>]*t="".[^a][^>]*>[^<]+<\/V>))(?![<>])' at offset 20. Insufficient hexadecimal digits."
"Invalid pattern '^\#include\s+[\<\""]([\w\.\_\/\\]+?\.h\w*)[\""\>]' at offset 27. Unrecognized escape sequence \\_."
Invalid pattern '(?<foo>xyz)abc\k<bar>' at offset 21. Reference to undefined group name 'bar'.
Invalid pattern '^\Q$path' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\Q@{[NBSP]}' at offset 2. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '^[^<]*+(?:<[^>]*+>[^<]*+)*+$' at offset 7. Nested quantifier '+'.
Invalid pattern '\p{script=Common}' at offset 10. Incomplete \\p{X} character escape.
"Invalid pattern '(<R>[Nn]\x{ed}(?: ?ba|b)<\/R> <E[^>]*><A pl=""n"" gnt=""y"" gnd=""f"">[^<]+<\/A><\/E>)' at offset 11. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$main_module_path\/\E([^\/]+)\.pm' at offset 3. Unrecognized escape sequence \\Q.
"Invalid pattern '(<E[^>]*><N pl=""n"" gnt=""n"" gnd=""f"">d?[Tt]h?eanga<\/N> <N pl=""n"" gnt=""y"" gnd=""f"">br\x{f3}ige<\/N><\/E>)' at offset 85. Insufficient hexadecimal digits."
Invalid pattern '^(?u:union)' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern ':math:`(?P<math>.*?)`' at offset 10. Unrecognized grouping construct.
Invalid pattern '^(BASE_PATH|' at offset 12. Not enough )'s.
Object reference not set to an instance of an object.
Invalid pattern ' FEED\[<=>[^\]*\].*feed.*stale' at offset 30. Unterminated [] set.
Invalid pattern '(?P<ostheme>[-]{3}slide(?P<block>.*?)[-]{3}endslide)' at offset 3. Unrecognized grouping construct.
Invalid pattern '\p{blk=Hiragana}' at offset 7. Incomplete \\p{X} character escape.
Invalid pattern 'node@(?P<version>\d+\.\d+\.\d+)\s+\|\s+(?P<platform>\w+)\s+\|\s(?P<arch>ia32|x64)' at offset 8. Unrecognized grouping construct.
Invalid pattern '^(.+?)\Q--$boundary\E(--)?\r?\n' at offset 8. Unrecognized escape sequence \\Q.
Invalid pattern '29(#)[\da-sA-S]++' at offset 17. Nested quantifier '+'.
Invalid pattern ''(?>[^']++|'')*+'|[\d-.]++' at offset 10. Nested quantifier '+'.
"Invalid pattern '(?<![<>])(<N pl=""n"" gnt=""n"" gnd=""m"">g?[Cc]h?\x{fa}igear<\/N> (?:<N[^>]*pl=""y""[^>]*>[^<]+<\/N>))(?![<>])' at offset 47. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Invalid pattern '(<E[^>]*><C>[\x{d3}\x{f3}]<\/C> (?:<V[^>]*>[Ff]ua(?:ir(?:ea[md]ar)?|rthas)<\/V>)<\/E>)' at offset 16. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?<![<>])(<S>[Aa]r<\/S> (?:<P[^>]*>[Mm]\x{e9}<\/P>))(?![<>])' at offset 42. Insufficient hexadecimal digits.
Invalid pattern '^:(?:[' at offset 6. Unterminated [] set.
Invalid pattern '\P{InHiragana}' at offset 14. Unknown property 'InHiragana'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?P<literal>[^:\(\)]*)(?P<token>[:\(\)]?)' at offset 3. Unrecognized grouping construct.
Invalid pattern '{\((?P<group_id>(\\.|[^)}\\])*)\)\((?P<group_name>(\\.|[^)}\\])*)\)(?P<counter_list_str>\[(\\.|[^}\\])*\])}' at offset 6. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^[\$\>\:\#\%%]*\s*(?P<cmd>(sudo\s+|)[a-z0-9][a-z0-9\-]*\s.+$)' at offset 21. Unrecognized grouping construct.
"Invalid pattern '\\char""(\p{ASCII_Hex_Digit}+)' at offset 27. Unknown property 'ASCII_Hex_Digit'."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(<V cop=""y"">[^<]+<\/V> <E[^>]*><N pl=""n"" gnt=""n"">[Ff]h?\x{e9}idir<\/N><\/E>)' at offset 58. Insufficient hexadecimal digits."
"Invalid pattern '
            ([\s\[{(]|[' at offset 24. Unterminated [] set."
Object reference not set to an instance of an object.
Invalid pattern '\x{064B}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '^((?u:[0-9])+)' at offset 5. Unrecognized grouping construct.
Invalid pattern '\Q$L\E\s*(.*?)\s*\Q$R\E' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern 'ADD_ONION (?P<keytype>[^ ]+):(?P<keyblob>[^ ]+)(?P<flags> Flags=[^ ]+)? Port=(?P<ports>[^ ]+)' at offset 13. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\p{Punct}|\p{Cntrl}' at offset 9. Unknown property 'Punct'.
Invalid pattern '^[$self->{valid_filename_char}]*$' at offset 9. [x-y] range in reverse order.
Invalid pattern '(\.\w+)|\[((?:[^\[\]]*|(?R))*)\]' at offset 26. Unrecognized grouping construct.
Invalid pattern '^([^\_]+)\_' at offset 6. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
"Invalid pattern '()<B><Z>(?:<[^>]+>)+<\/Z>([Dd]\x{f3})<\/B>( (?:<N[^>]*gnt=""y""[^>]*>[^<]+<\/N>|<B><Z>(?:<N[^>]*gnt=""y""[^>]*>)+<\/Z>[^<]+<\/B>))' at offset 33. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Invalid pattern '(?<$>a)' at offset 3. Invalid group name: Group names must begin with a word character.
Invalid pattern '^\Q$self->namespace\E::' at offset 3. Unrecognized escape sequence \\Q.
Invalid pattern '()<B><Z>(?:<[^>]+>)+<\/Z>([\x{d3}\x{f3}])<\/B>( (?:<V[^>]*>[^<]+<\/V>|<B><Z>(?:<V[^>]*>)+<\/Z>[^<]+<\/B>))' at offset 30. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '^\s*(((' at offset 7. Not enough )'s.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<A pl=""n"" gnt=""n"">g?[Cc]h?eithre<\/A> (?:<N[^>]*>[^<]+<\/N>) (?:<A[^>]*>(?:[BbCcDdFfGgMmPpTt][^Hh']|[Ss][lnraeiou\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}]|bh[Ff])[^<]*<\/A>))(?![<>])' at offset 126. Insufficient hexadecimal digits."
Invalid pattern '^ .*\b \Q$called\E ( \s* \( \s* | \s+ )' at offset 9. Unrecognized escape sequence \\Q.
"Invalid pattern '[^\t]+\t	# array name
	([^\t]+)\t	# ** time step **
	([^\t]+)\t	# ** orf name **
	 [^\t]+\t	# gene name
         [^\t]+\t	# ec number
	 [^\t]+\t	# chromosome number 
	 [^\t]+\t	# peptide length
	([^\t]+)\t	# ** spot value **
	 [^\t]+\t	# description
	 [^\t]+' at offset 38. Nested quantifier '*'."
Invalid pattern '(?m)^\s+\d+\s+(?P<hostname>[-\w]+)\s+(?P<status>.+)\s*$' at offset 17. Unrecognized grouping construct.
Invalid pattern '()(:' at offset 4. Not enough )'s.
Invalid pattern 'a{111111111111111111111111111111111111111111111}' at offset 13. Capture group numbers must be less than or equal to Int32.MaxValue.
"Invalid pattern '(?<![<>])(<N pl=""n"" gnt=""n"" gnd=""m"">d\x{ed}leas<\/N>)(?![<>])' at offset 40. Insufficient hexadecimal digits."
Invalid pattern 'update\s+(ignore\s+)?`?(?P<table>\w+)`?\s+set' at offset 26. Unrecognized grouping construct.
Invalid pattern '(?P<app>[a-z0-9-]+)_?(?P<version>v[0-9]+)?\.?(?P<c_type>[a-z-_]+)?.(?P<c_num>[0-9]+)' at offset 3. Unrecognized grouping construct.
Invalid pattern '[\x{a0}${extra_chars}\x{20}]' at offset 4. Insufficient hexadecimal digits.
Invalid pattern '\Q$section\E' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Tt]har)<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+([Ss]\x{e1}ile)<\/[A-DF-Z]>' at offset 74. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Ss]eacht)<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+([Dd]\x{e9}ag)<\/[A-DF-Z]>' at offset 76. Insufficient hexadecimal digits.
Invalid pattern '\x{1069}' at offset 3. Insufficient hexadecimal digits.
Invalid pattern '[.](TRUE|FALSE)[.](_' at offset 20. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '^
                ([^\[]+)?     # - look for an optional type
                              #   by matching anything but '['
                (?:           # - don't backreference the literals
                  \[          # - literal '['
                    ([^\]]+)  # - index, any non-']' chars
                  \]          # - literal ']'
                )?            # - the whole index is optional
               ' at offset 266. Too many )'s."
Object reference not set to an instance of an object.
"Invalid pattern '\033\\[(?:[0-9]{1,3}(?:;[0-9]{1,3})*)?[m|K]' at offset 37. Too many )'s."
Invalid pattern 'su:\sAuthentication\sfailure(?P<AUTH>.*)|su:\sPermission denied\s(?P<PERM>.*)|su:\sincorrect password\s(?P<PASS>.*)' at offset 31. Unrecognized grouping construct.
"Invalid pattern '<iframe[^>]+src=([\'""])(?P<url>https?://videomore\.ru/embed/\d+)' at offset 26. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '\Q$self->{perl_lib_dir}\E' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern 'Could not find the file foo in container \h{64}\z' at offset 43. Unrecognized escape sequence \\h.
Invalid pattern '(?<![<>])(<Y>N\x{ed}<\/Y> <Y>(?:[BCDFGMPT][^Hh']|S[lnraeiou\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}]|bhF)[^<]*<\/Y>)(?![<>])' at offset 17. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '^\d+(\.\d{0,' at offset 12. Not enough )'s."
Invalid pattern '($context?)\Q$entity\E($context?)' at offset 13. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
"Invalid pattern '(?<!(?<!\\)(?:\\{2}+){0,1000000000}+\\)<@!?+(?<id>[0-9]++)>' at offset 20. Nested quantifier '+'."
Invalid pattern '[A-Za-z0-9\_\\]' at offset 12. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern '(?P<year>[0-9]+)[-/](?P<month>[0-9]+)[-/](?P<day>[0-9]+)[T ](?P<hour>[0-9]+):(?P<minute>[0-9]+)$' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
"Invalid pattern '(*UTF8)extension \.js script$' at offset 2. Quantifier {x,y} following nothing."
"Invalid pattern '^(
	(?(?!\p{IsIDNAAtsign}|"").|(?!))+
	|
	""(?:(?:[^""]|\\.)*[^\\])?""
      )
      (?:
	(\p{IsIDNAAtsign})
   	(?:([^\[\]]*)|(\[.*\]))?
      )?$' at offset 25. Unknown property 'IsIDNAAtsign'."
Invalid pattern '^([A-Z]*[a-z0-9]*+)' at offset 18. Nested quantifier '+'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(<V cop=""y"">[^<]+<\/V> <E[^>]*>(?:<A[^>]*>[Ll]\x{e9}ir<\/A>)<\/E>)' at offset 49. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '((?:<[\/A-DF-Z][^>]*>)+[Ss]h?\x{e9}<\/[A-DF-Z]> )<B><Z>(?:<[^>]+>)+<\/Z>([Bb]liana)<\/B>()' at offset 32. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
"Invalid pattern '
        \A
        https?://                                        # http:// or https://
        ([^\s:@]+:[^\s:@]*@)?                            # optional username:pw@
        ( (xn--)?[a-z0-9]+([-.][a-z0-9]+)*\.[a-z]{2,6}\.? |  # domain (including Punycode/IDN)...
            ' at offset 282. Not enough )'s."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?<![<>])(<F>[Cc]l\x{e1}ra\x{ed}<\/F>)(?![<>])' at offset 21. Insufficient hexadecimal digits.
"Invalid pattern '
			^(
				Controller
			|
				(?P<subpackageKey>.+)\\Controller
			)
			\\(?P<controllerName>[a-z\\]+)Controller
			$' at offset 34. Unrecognized grouping construct."
Invalid pattern '[^\p{Word}+]' at offset 10. Unknown property 'Word'.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<mul>[0-9]?n)(?:(?P<sign>\+|\-)(?P<pos>[0-9]+))?$' at offset 4. Unrecognized grouping construct.
Invalid pattern '('' at offset 2. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'Mozilla/[\d\.]* \((?P<model>[^;]*); .*CPU like Mac OS X' at offset 21. Unrecognized grouping construct.
Invalid pattern '(?<T0>\Q[\E)(?<T1>\d+)(?<T2>-)(?<T3>\d+)(?<T4>\])' at offset 8. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '^([a-zA-Z0-9\-\_\.]*)@([a-zA-Z0-9\-\_\.]*)\.([a-zA-Z]*)$' at offset 16. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '7(?<_1>#)[0-6]++' at offset 16. Nested quantifier '+'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'ia(addr|prefix) (?P<ip>[0-9a-f:]+(/[0-9]+)?) {(?P<config>[\s\S]+?)\n\s+}' at offset 19. Unrecognized grouping construct.
Invalid pattern 'http://www.mangareader.net/((\d+)-(\d+)-(\d+)/)?[^/]+/(chapter-)?(?P<chapter>\d+)(            .html)?' at offset 68. Unrecognized grouping construct.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<S>[Mm]urach<\/S> <T>[Aa]n<\/T> <N pl=""n"" gnt=""n"" gnd=""m"">[aeiouAEIOU\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}\x{c1}\x{c9}\x{cd}\x{d3}\x{da}][^<]*<\/N>)(?![<>])' at offset 82. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Invalid pattern '\[\+[A-Z0-9\.\_\-]+\+\]' at offset 15. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern '^\S+\/(\d+(?:[\.\_]\d+)+)' at offset 18. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<S>[Aa]r<\/S> <N pl=""n"" gnt=""n"" gnd=""m"">[Cc]h\x{e9}alacan<\/N>)(?![<>])' at offset 58. Insufficient hexadecimal digits."
Invalid pattern '[\x{0165}]' at offset 4. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '^(?<date_time_delim>' at offset 20. Not enough )'s.
"Invalid pattern '\/\/>>includeStart\('debug', pragmas\.debug\);?[^]*?\/\/>>includeEnd\('debug'\);?' at offset 81. Unterminated [] set."
Invalid pattern '^\Q$version\E$' at offset 3. Unrecognized escape sequence \\Q.
"Invalid pattern '(?P<fulldomain>(?P<domain>[a-z0-9][a-z0-9\-]{1,63})\.(?<tld>[a-z\.]{2,6}))$' at offset 3. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern 'asciinema\.org\/a\/(?<asciinema_id>[\p{Alnum}_\-]+)$' at offset 45. Unknown property 'Alnum'.
Invalid pattern 'https?:\/\/([0-9a-z\_\.\-:]+)' at offset 21. Unrecognized escape sequence \\_.
Invalid pattern '<p>([^]+?)<\/p>' at offset 15. Unterminated [] set.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$self->{_syndicator}{prefix}' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '[^a-z\d\-\_\[\]]' at offset 11. Unrecognized escape sequence \\_.
"Invalid pattern '\B@([a-zA-Z0-9\p{Han}]{1,32})\s?' at offset 21. Unknown property 'Han'."
Invalid pattern '^(?P<vector_size>\d+)?(?P<vector_signed>[US])?(?P<vector_type>[FD])?(?P<vector_zero>0)?x(?P<vector_count>\d+)?$' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '\[\^(' at offset 5. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$type\E[ ]' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern ';(' at offset 2. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\{(?P<namespace>[^\}]+)\}.+' at offset 5. Unrecognized grouping construct.
Object reference not set to an instance of an object.
"Invalid pattern '<iframe[^>]+src=([""\'])(?P<url>(?:https?:)?//out\.pladform\.ru/player\?.+?)\1' at offset 26. Unrecognized grouping construct."
Invalid pattern '^task=\s?([A-Za-z\d\_]+)\s?' at offset 21. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Ff]aoi)<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(l\x{e1}nseol)<\/[A-DF-Z]>' at offset 71. Insufficient hexadecimal digits.
Invalid pattern '\Q&\E.*?\Q;\E' at offset 2. Unrecognized escape sequence \\Q.
"Invalid pattern '(?<![<>])(<V cop=""y"">[Nn]\x{ed}<\/V> <X>he<\/X>)(?![<>])' at offset 28. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?<![<>])(<S>[Aa]r<\/S> (?:<N[^>]*>(?:[BbCcDdFfGgMmPpTt][^Hh']|[Ss][lnraeiou\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}]|bh[Ff])[^<]*<\/N>))(?![<>])' at offset 79. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\x{fb00}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '^X-Pingback:\h*(.+)' at offset 14. Unrecognized escape sequence \\h.
Invalid pattern '^\x{0024}$' at offset 4. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '(\p{IsConsonant})\1\Kle$' at offset 21. Unrecognized escape sequence \\K.
Invalid pattern '\x{1F366}' at offset 3. Insufficient hexadecimal digits.
"Invalid pattern 'or libafsauthent (PIC) not found ...\n"";
        if ($ENV{AUTOMATED_TESTING}) { exit 0; }
        die ""Script terminated ...\n"";
    }
}
elsif ($Config{usethreads} and $alpha_sys =~ ' at offset 182. Not enough )'s."
Invalid pattern '%\((?P<name>[^)]+)\)s' at offset 6. Unrecognized grouping construct.
Invalid pattern '\s*<(?P<tag>\w+)\s*(?P<attrs>[^>]+)?>' at offset 7. Unrecognized grouping construct.
Invalid pattern '^ *(?P<major>\d+) *(?P<minor>\d+) *(?P<num_blks>\d+) (?P<dev_name>\S+)$' at offset 6. Unrecognized grouping construct.
"Invalid pattern '(<T>[^<]+<\/T> <E[^>]*>(?:<N[^>]*>[^<]+<\/N>) (?:<A[^>]*>[^<]+<\/A>) <A pl=""n"" gnt=""n"">(?:[Ss]eo|[Ss]in|[\x{da}\x{fa}]d)<\/A><\/E>)' at offset 108. Insufficient hexadecimal digits."
